4,0,1,F,2,B,6,7,3,9,A,5,C,D,E,8,
8,0,1,C,2,5,6,9,4,3,A,B,7,D,E,F,
8,0,1,C,F,5,6,7,4,3,A,B,9,D,E,2,
2,0,1,8,3,D,6,7,4,9,A,5,C,B,E,F,
2,0,1,8,3,F,6,7,4,9,5,B,C,D,E,A,
2,0,1,8,3,B,6,7,4,9,A,F,C,D,E,5,
4,8,1,2,3,B,6,7,0,9,A,E,C,D,5,F,
8,0,1,9,2,5,D,7,4,6,A,B,C,3,E,F,
8,E,1,2,3,5,6,7,4,C,A,B,9,D,0,F,
8,E,1,2,3,5,6,7,4,9,F,B,C,D,0,A,
8,F,1,2,3,5,C,7,4,9,A,B,6,D,E,0,
8,F,1,2,3,5,6,D,4,9,A,B,C,7,E,0,
C,0,1,9,3,5,4,7,6,2,A,B,8,D,E,F,
C,B,1,2,3,5,4,7,6,9,A,0,8,D,E,F,
C,9,1,2,3,5,4,7,6,0,A,B,8,D,E,F,
8,E,1,2,3,5,4,7,6,9,A,0,C,D,B,F,
8,A,1,2,3,B,6,7,4,9,0,5,C,D,E,F,
4,0,1,8,2,C,3,7,6,9,A,B,5,D,E,F,
4,0,1,8,2,5,3,B,6,9,A,7,C,D,E,F,
4,0,1,8,2,5,3,E,6,9,A,B,C,D,7,F,
6,8,1,2,3,5,4,B,0,9,A,7,C,D,E,F,
4,0,1,8,2,9,3,7,6,5,A,B,C,D,E,F,
8,F,1,2,3,5,6,7,4,9,0,B,C,D,E,A,
4,0,1,8,2,5,F,7,6,9,A,B,C,D,E,3,
D,0,1,2,3,5,E,7,6,9,A,B,C,8,4,F,
C,A,1,2,3,5,4,7,6,9,0,B,8,D,E,F,
C,0,1,2,3,5,F,7,6,9,A,B,8,D,E,4,
8,A,1,2,3,0,4,7,6,9,5,B,C,D,E,F,
8,D,1,2,3,0,4,7,6,9,A,B,C,5,E,F,
6,8,1,E,3,5,4,7,0,9,A,B,C,D,2,F,
4,0,1,8,2,5,A,7,6,9,3,B,C,D,E,F,
C,0,A,2,3,5,4,7,6,9,1,B,8,D,E,F,
D,0,A,2,3,5,4,7,6,9,1,B,C,8,E,F,
8,F,1,2,3,C,6,7,4,9,A,B,5,D,E,0,
8,0,1,C,2,5,B,7,4,9,A,6,3,D,E,F,
8,0,1,C,2,5,D,7,4,9,A,B,3,6,E,F,
C,0,1,2,3,F,6,7,4,9,A,B,8,D,E,5,
C,0,1,2,3,5,6,D,4,9,A,B,8,7,E,F,
8,A,1,2,3,5,6,9,4,7,0,B,C,D,E,F,
8,0,1,C,2,E,6,7,4,9,A,B,3,D,5,F,
4,0,1,8,2,D,3,7,6,9,A,B,C,5,E,F,
4,0,1,8,2,A,3,7,6,9,5,B,C,D,E,F,
6,8,1,2,3,5,4,C,0,9,A,B,7,D,E,F,
6,8,1,2,3,5,4,D,0,9,A,B,C,7,E,F,
6,8,1,2,3,5,4,9,0,7,A,B,C,D,E,F,
D,A,1,2,3,5,6,7,4,9,0,B,C,8,E,F,
E,0,1,A,3,5,6,7,4,9,2,B,C,D,8,F,
8,A,1,2,3,5,9,7,4,6,0,B,C,D,E,F,
8,0,1,D,2,5,6,7,4,9,3,B,C,A,E,F,
8,0,1,6,2,5,D,7,4,9,A,B,C,3,E,F,
8,C,1,2,3,5,4,7,6,9,A,B,0,D,E,F,
6,8,D,2,3,5,4,7,0,9,A,B,C,1,E,F,
6,8,E,2,3,5,4,7,0,9,A,B,C,D,1,F,
4,0,1,F,2,5,3,7,6,9,A,B,C,D,E,8,
4,0,1,A,2,8,6,7,3,9,5,B,C,D,E,F,
4,0,1,A,2,5,6,8,3,9,7,B,C,D,E,F,
6,0,8,F,3,5,4,7,1,9,A,B,C,D,E,2,
6,0,8,C,3,5,4,7,1,9,A,B,2,D,E,F,
6,8,1,C,3,5,4,7,0,9,A,B,2,D,E,F,
6,8,1,D,3,5,4,7,0,9,A,B,C,2,E,F,
8,0,1,C,2,5,6,7,4,3,A,B,9,D,E,F,
8,0,1,A,2,5,6,3,4,9,7,B,C,D,E,F,
8,0,1,D,2,5,3,7,4,9,A,B,C,6,E,F,
8,0,1,A,2,5,6,7,4,9,D,B,C,3,E,F,
8,0,1,E,3,5,4,7,6,9,A,B,C,D,2,F,
6,0,1,8,D,5,4,7,2,9,A,B,C,3,E,F,
6,8,1,2,F,5,4,7,0,9,A,B,C,D,E,3,
6,8,1,2,3,A,4,7,0,9,5,B,C,D,E,F,
8,0,1,3,2,A,6,7,4,9,F,B,C,D,E,5,
4,0,1,8,2,5,B,7,6,9,A,3,C,D,E,F,
8,0,1,6,2,5,C,7,4,9,A,B,3,D,E,F,
